epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,424.254,0.78497,1.37603,0.57566,1.14849,0.84569,0.74679,0.85663,0.6533,0.89209,0.72436,0.8404,0.60541,0.90341,1.62782,0.69894,1.28775,0.0006338,0.0006338,0.0006338
71,430.588,0.783,1.32408,0.573,1.14865,0.79879,0.77885,0.8274,0.62761,0.78456,0.75868,0.80416,0.56472,0.90766,1.68611,0.81719,1.29456,0.000614,0.000614,0.000614
72,436.885,0.73533,1.23788,0.51724,1.10757,0.80504,0.74113,0.81712,0.62043,0.83473,0.69609,0.79527,0.56272,0.94351,1.78354,0.87114,1.32775,0.0005942,0.0005942,0.0005942
73,443.311,0.75277,1.30464,0.5338,1.13193,0.81575,0.82306,0.86602,0.65564,0.84006,0.77441,0.8411,0.60012,0.91015,1.71215,0.74066,1.30585,0.0005744,0.0005744,0.0005744
74,449.671,0.7574,1.29286,0.54119,1.13811,0.84709,0.8141,0.87002,0.66358,0.83265,0.79737,0.84311,0.60454,0.87593,1.65899,0.68706,1.27593,0.0005546,0.0005546,0.0005546
75,456.18,0.77038,1.29354,0.55024,1.13887,0.8944,0.75321,0.86282,0.65583,0.77877,0.80128,0.83136,0.59404,0.86683,1.65341,0.69615,1.24987,0.0005348,0.0005348,0.0005348
76,462.583,0.73815,1.25885,0.54217,1.11713,0.8822,0.75,0.85051,0.65219,0.85557,0.72756,0.81661,0.59134,0.87247,1.67421,0.73711,1.26126,0.000515,0.000515,0.000515
77,468.917,0.72194,1.18908,0.51717,1.09073,0.8688,0.80655,0.86919,0.65651,0.86052,0.79167,0.85043,0.61031,0.89032,1.63616,0.68856,1.26836,0.0004952,0.0004952,0.0004952
78,475.34,0.71005,1.21947,0.50601,1.07504,0.84161,0.81746,0.86175,0.64743,0.83831,0.79487,0.84445,0.60784,0.9139,1.62653,0.70853,1.28844,0.0004754,0.0004754,0.0004754
79,481.794,0.71502,1.21418,0.50233,1.09683,0.81717,0.80449,0.85588,0.64886,0.80793,0.78195,0.83612,0.60911,0.89024,1.63067,0.71334,1.2879,0.0004556,0.0004556,0.0004556
80,488.153,0.69461,1.1894,0.48286,1.06905,0.88534,0.74242,0.85201,0.65596,0.81274,0.76511,0.82307,0.61002,0.87423,1.6372,0.72525,1.28219,0.0004358,0.0004358,0.0004358
81,494.457,0.69323,1.18288,0.50251,1.08763,0.87778,0.75964,0.85065,0.66172,0.85192,0.73757,0.82194,0.59737,0.87402,1.69099,0.73931,1.27099,0.000416,0.000416,0.000416
82,500.859,0.68893,1.20291,0.47468,1.07601,0.88203,0.75321,0.85504,0.66658,0.87067,0.73362,0.83272,0.60626,0.85806,1.65863,0.74181,1.26036,0.0003962,0.0003962,0.0003962
83,507.345,0.71253,1.23697,0.50452,1.11261,0.86204,0.77564,0.8513,0.66649,0.8569,0.75962,0.8399,0.60679,0.85545,1.65202,0.75371,1.25892,0.0003764,0.0003764,0.0003764
84,513.784,0.69569,1.20069,0.50212,1.08169,0.82383,0.80938,0.85696,0.66698,0.86082,0.75328,0.8441,0.61256,0.85672,1.59116,0.72307,1.25224,0.0003566,0.0003566,0.0003566
85,520.303,0.69977,1.2325,0.4873,1.08433,0.87607,0.78205,0.87443,0.67488,0.86131,0.76923,0.85349,0.62518,0.84764,1.57505,0.6646,1.23893,0.0003368,0.0003368,0.0003368
86,526.733,0.69456,1.18067,0.47992,1.08298,0.86726,0.79573,0.8732,0.67703,0.8428,0.7733,0.84443,0.62221,0.8565,1.58482,0.6565,1.24163,0.000317,0.000317,0.000317
87,533.126,0.71832,1.2355,0.49063,1.10327,0.85835,0.75744,0.85756,0.66215,0.86972,0.72115,0.82158,0.60435,0.87087,1.66809,0.70817,1.26694,0.0002972,0.0002972,0.0002972
88,539.455,0.68903,1.17878,0.48494,1.09358,0.85458,0.76603,0.83721,0.64803,0.82874,0.74038,0.80698,0.58856,0.88061,1.70304,0.77027,1.28745,0.0002774,0.0002774,0.0002774
89,545.848,0.69976,1.21075,0.49232,1.08577,0.8458,0.77354,0.83773,0.64708,0.81776,0.7479,0.80351,0.59075,0.86758,1.68937,0.77089,1.28253,0.0002576,0.0002576,0.0002576
90,552.085,0.6832,1.14753,0.46534,1.08036,0.89239,0.77082,0.85623,0.66297,0.86981,0.74359,0.83333,0.61011,0.8528,1.62052,0.71285,1.26765,0.0002378,0.0002378,0.0002378
91,558.441,0.66474,1.2568,0.50783,1.11659,0.86204,0.80109,0.86275,0.65968,0.84946,0.78846,0.8469,0.61547,0.8563,1.59573,0.66855,1.27054,0.000218,0.000218,0.000218
92,564.55,0.67203,1.21979,0.5057,1.11428,0.83146,0.84615,0.8618,0.65206,0.81587,0.82371,0.83826,0.60506,0.8679,1.5837,0.67694,1.2756,0.0001982,0.0001982,0.0001982
93,570.645,0.62602,1.22562,0.45069,1.05049,0.81526,0.80623,0.85262,0.64574,0.82544,0.77244,0.82513,0.59403,0.88027,1.57604,0.70409,1.28906,0.0001784,0.0001784,0.0001784
94,576.721,0.62349,1.12994,0.45611,1.03978,0.84774,0.78522,0.85581,0.64766,0.83371,0.7713,0.82681,0.59194,0.86233,1.57798,0.69903,1.2769,0.0001586,0.0001586,0.0001586
95,582.733,0.64561,1.16218,0.45827,1.07684,0.86832,0.78197,0.86526,0.66456,0.85389,0.76796,0.83911,0.60943,0.84266,1.56572,0.67251,1.2545,0.0001388,0.0001388,0.0001388
96,588.839,0.66566,1.19945,0.47205,1.10409,0.86792,0.78526,0.86826,0.67606,0.85769,0.75338,0.83951,0.61681,0.8432,1.57639,0.65363,1.2514,0.000119,0.000119,0.000119
97,594.765,0.60532,1.11582,0.42227,1.02016,0.86782,0.79962,0.86943,0.6794,0.87756,0.75321,0.84711,0.61802,0.84474,1.58573,0.65178,1.2519,9.92e-05,9.92e-05,9.92e-05
98,600.753,0.58615,1.0632,0.40493,1.02049,0.86167,0.79487,0.86823,0.67396,0.84227,0.77019,0.84516,0.61554,0.84644,1.57972,0.65288,1.2537,7.94e-05,7.94e-05,7.94e-05
99,606.682,0.58864,1.08559,0.40928,1.03205,0.87056,0.79757,0.87148,0.67686,0.8399,0.79029,0.85006,0.6182,0.83934,1.56985,0.64978,1.25106,5.96e-05,5.96e-05,5.96e-05
100,612.777,0.60279,1.14699,0.42514,1.05543,0.87603,0.79274,0.87351,0.67418,0.85445,0.77885,0.85402,0.6179,0.83467,1.56176,0.65486,1.24812,3.98e-05,3.98e-05,3.98e-05
