epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,181.334,1.37878,2.30069,1.39445,1.5414,0.83812,0.56422,0.7254,0.49735,0.79449,0.59295,0.71508,0.45198,1.37686,2.32518,1.41332,1.58648,0.0003764,0.0003764,0.0003764
84,183.368,1.39221,2.34533,1.36111,1.53052,0.77974,0.60577,0.73549,0.49987,0.78231,0.62199,0.72546,0.45885,1.37316,2.30599,1.43179,1.58601,0.0003566,0.0003566,0.0003566
85,185.504,1.41206,2.45608,1.39017,1.54447,0.84132,0.58333,0.73512,0.49693,0.80634,0.59936,0.73016,0.4544,1.36958,2.32644,1.45037,1.57575,0.0003368,0.0003368,0.0003368
86,187.683,1.37574,2.33001,1.36799,1.53721,0.77975,0.58333,0.73318,0.49907,0.72934,0.64423,0.73533,0.45992,1.32678,2.33193,1.4277,1.54893,0.000317,0.000317,0.000317
87,189.772,1.40445,2.43447,1.37308,1.56157,0.71619,0.625,0.73675,0.50563,0.77303,0.625,0.73694,0.4641,1.32332,2.3067,1.41002,1.54121,0.0002972,0.0002972,0.0002972
88,191.847,1.4076,2.34218,1.38511,1.56451,0.7491,0.65072,0.73702,0.50168,0.76787,0.66794,0.74118,0.46444,1.33285,2.30336,1.3877,1.54627,0.0002774,0.0002774,0.0002774
89,193.921,1.38554,2.3838,1.34439,1.53374,0.76773,0.62505,0.73694,0.50683,0.76025,0.66064,0.73427,0.46287,1.35229,2.31866,1.38288,1.56083,0.0002576,0.0002576,0.0002576
90,196.105,1.38155,2.34767,1.34897,1.53124,0.74445,0.63492,0.74041,0.50802,0.74957,0.64744,0.72134,0.46439,1.34055,2.29298,1.37748,1.54809,0.0002378,0.0002378,0.0002378
91,198.341,1.28308,2.34518,1.52628,1.52867,0.74068,0.64744,0.7467,0.51213,0.73783,0.64947,0.72071,0.46396,1.3547,2.28067,1.39297,1.54814,0.000218,0.000218,0.000218
92,200.217,1.266,2.3914,1.52469,1.49904,0.80493,0.61218,0.74351,0.51535,0.75922,0.61649,0.72204,0.4566,1.38257,2.29096,1.42895,1.55865,0.0001982,0.0001982,0.0001982
93,202.08,1.26865,2.37957,1.4715,1.49075,0.77058,0.64423,0.75159,0.51806,0.77611,0.62179,0.72377,0.46021,1.37322,2.26989,1.4422,1.55654,0.0001784,0.0001784,0.0001784
94,203.938,1.22851,2.34251,1.4086,1.46388,0.75898,0.64744,0.75653,0.52104,0.74811,0.63782,0.7361,0.46301,1.35505,2.24815,1.43124,1.53837,0.0001586,0.0001586,0.0001586
95,205.788,1.22722,2.37974,1.41509,1.4815,0.76308,0.64103,0.75487,0.51781,0.76932,0.65205,0.74336,0.46792,1.3477,2.24577,1.42182,1.53563,0.0001388,0.0001388,0.0001388
96,207.649,1.21981,2.34353,1.39719,1.47143,0.76325,0.64103,0.75408,0.51742,0.74786,0.66546,0.74333,0.47022,1.33014,2.24219,1.41677,1.52881,0.000119,0.000119,0.000119
97,209.498,1.2241,2.31017,1.3473,1.44115,0.77242,0.6527,0.75251,0.51926,0.77283,0.65705,0.74358,0.46825,1.32237,2.24284,1.42792,1.53002,9.92e-05,9.92e-05,9.92e-05
98,211.334,1.19149,2.23705,1.30622,1.43453,0.79174,0.64103,0.75445,0.51778,0.79855,0.62179,0.73994,0.4641,1.32623,2.25099,1.43378,1.53231,7.94e-05,7.94e-05,7.94e-05
99,213.174,1.16348,2.27524,1.29199,1.4246,0.77995,0.64423,0.75242,0.51797,0.76411,0.64423,0.73702,0.46223,1.32659,2.25156,1.42642,1.5344,5.96e-05,5.96e-05,5.96e-05
100,215.01,1.19188,2.29088,1.33334,1.46477,0.78189,0.64103,0.75352,0.52086,0.77475,0.63782,0.73768,0.46438,1.32279,2.24377,1.41891,1.53105,3.98e-05,3.98e-05,3.98e-05
