epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,247.451,0.83172,1.4386,0.67999,1.14999,0.78166,0.72288,0.7786,0.55814,0.76433,0.70685,0.76002,0.5217,1.05913,1.79956,0.97971,1.35981,0.0010694,0.0010694,0.0010694
49,252.539,0.89572,1.58969,0.73936,1.19278,0.83641,0.67189,0.78721,0.57408,0.81993,0.65673,0.7642,0.53219,1.06417,1.79371,1.00576,1.3704,0.0010496,0.0010496,0.0010496
50,257.682,0.85209,1.51628,0.68919,1.16512,0.85127,0.72115,0.80622,0.59396,0.84705,0.70513,0.78825,0.54988,1.06958,1.73427,0.95928,1.33496,0.0010298,0.0010298,0.0010298
51,262.925,0.85631,1.46204,0.66889,1.15894,0.85192,0.7376,0.80756,0.60027,0.84839,0.73534,0.79933,0.55513,1.02543,1.77531,0.96701,1.32892,0.00101,0.00101,0.00101
52,268.015,0.83893,1.42315,0.64536,1.14933,0.84957,0.72436,0.81644,0.59414,0.83763,0.71154,0.79046,0.53472,1.0384,1.85739,0.91626,1.31682,0.0009902,0.0009902,0.0009902
53,273.242,0.83273,1.46234,0.65356,1.13949,0.82768,0.71795,0.797,0.57797,0.82795,0.71154,0.78585,0.52662,1.01533,1.91458,0.97832,1.33226,0.0009704,0.0009704,0.0009704
54,278.411,0.81684,1.46412,0.64441,1.12116,0.87706,0.73173,0.83114,0.62179,0.87592,0.73077,0.79418,0.57355,0.97715,1.74767,0.885,1.29383,0.0009506,0.0009506,0.0009506
55,283.705,0.80553,1.37031,0.62028,1.12863,0.87881,0.72053,0.82551,0.62518,0.87763,0.71474,0.81447,0.58225,0.97414,1.72415,0.89857,1.295,0.0009308,0.0009308,0.0009308
56,289.012,0.7996,1.35745,0.61068,1.12484,0.83895,0.75135,0.83661,0.62643,0.87675,0.71795,0.81788,0.57727,0.96117,1.71948,0.89598,1.27382,0.000911,0.000911,0.000911
57,294.288,0.81623,1.4333,0.64427,1.15716,0.82172,0.8141,0.86182,0.65379,0.81848,0.8109,0.85227,0.60256,0.96003,1.60539,0.77298,1.2452,0.0008912,0.0008912,0.0008912
58,299.574,0.78488,1.31952,0.58432,1.11166,0.84203,0.80295,0.87036,0.67266,0.85751,0.78205,0.85788,0.6211,0.90086,1.56998,0.72272,1.2257,0.0008714,0.0008714,0.0008714
59,304.788,0.78239,1.36704,0.60482,1.10321,0.85436,0.77564,0.8525,0.64376,0.83943,0.75641,0.82635,0.59289,1.00979,1.71163,0.80431,1.30552,0.0008516,0.0008516,0.0008516
60,310.033,0.79891,1.27779,0.59163,1.12792,0.83265,0.78141,0.84977,0.63929,0.82559,0.77375,0.8306,0.59268,0.97869,1.65605,0.80476,1.29325,0.0008318,0.0008318,0.0008318
61,315.202,0.79192,1.33994,0.596,1.11785,0.89216,0.73718,0.83773,0.62772,0.88612,0.72322,0.82062,0.58508,0.99106,1.73445,0.84973,1.3094,0.000812,0.000812,0.000812
