epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1395.32,1.04225,1.47219,0.54503,0.94388,0.90696,0.81974,0.88529,0.61251,0.88834,0.79592,0.86209,0.51977,1.08989,1.54296,0.56776,0.96703,0.0008516,0.0008516,0.0008516
60,1418.65,1.0643,1.50561,0.56021,0.9536,0.92302,0.81703,0.88788,0.60307,0.89772,0.79064,0.8596,0.5006,1.15125,1.55007,0.57995,0.98226,0.0008318,0.0008318,0.0008318
61,1442.14,1.06869,1.49169,0.56331,0.96019,0.92316,0.82008,0.8885,0.62289,0.90461,0.8012,0.86948,0.52994,1.05431,1.50903,0.55471,0.9608,0.000812,0.000812,0.000812
62,1465.69,1.03837,1.44504,0.53814,0.94632,0.91433,0.81175,0.88938,0.62405,0.8976,0.78032,0.86407,0.52812,1.05028,1.52628,0.54822,0.95728,0.0007922,0.0007922,0.0007922
63,1489.25,1.04894,1.48454,0.56013,0.95052,0.93257,0.81514,0.89174,0.62209,0.91126,0.78771,0.86246,0.52317,1.05142,1.53478,0.55828,0.96196,0.0007724,0.0007724,0.0007724
64,1512.84,1.04977,1.47032,0.54381,0.94797,0.92432,0.81439,0.89322,0.62998,0.90429,0.79205,0.87069,0.53727,1.05917,1.52206,0.55512,0.9659,0.0007526,0.0007526,0.0007526
65,1536.32,1.05443,1.49578,0.55755,0.94886,0.91628,0.81645,0.89248,0.62891,0.8851,0.79011,0.86251,0.52702,1.0208,1.50955,0.55083,0.94592,0.0007328,0.0007328,0.0007328
66,1560.02,1.03771,1.45697,0.54247,0.93776,0.92431,0.82718,0.89357,0.62966,0.89758,0.80326,0.86588,0.53057,1.01097,1.4823,0.54902,0.95291,0.000713,0.000713,0.000713
67,1583.49,1.02046,1.44463,0.54032,0.93889,0.93032,0.82213,0.89528,0.61469,0.90463,0.79101,0.86692,0.51179,1.0753,1.573,0.55182,0.96071,0.0006932,0.0006932,0.0006932
68,1606.9,1.05569,1.4895,0.54266,0.94563,0.91468,0.81791,0.88485,0.60868,0.87972,0.78835,0.85194,0.50842,1.11234,1.5414,0.56533,0.97828,0.0006734,0.0006734,0.0006734
69,1630.44,1.03317,1.45692,0.54562,0.94298,0.91726,0.82694,0.88834,0.59699,0.90473,0.80331,0.87068,0.50751,1.16106,1.57805,0.5678,0.99117,0.0006536,0.0006536,0.0006536
70,1654,1.04113,1.46469,0.54817,0.94968,0.92651,0.81756,0.8908,0.59777,0.90254,0.78855,0.86251,0.50929,1.15888,1.58957,0.57411,0.98646,0.0006338,0.0006338,0.0006338
71,1677.36,1.02848,1.42973,0.5314,0.937,0.92104,0.82635,0.89341,0.61259,0.89814,0.79271,0.86363,0.51734,1.09874,1.53099,0.55485,0.96977,0.000614,0.000614,0.000614
72,1700.84,1.02029,1.44197,0.52967,0.9383,0.91969,0.81369,0.89248,0.61421,0.88948,0.78378,0.86054,0.50155,1.08389,1.52768,0.55717,0.9643,0.0005942,0.0005942,0.0005942
73,1724.19,1.01955,1.43397,0.53493,0.94164,0.92454,0.81914,0.89724,0.63104,0.90921,0.78906,0.86897,0.53559,1.04296,1.49209,0.54193,0.95461,0.0005744,0.0005744,0.0005744
74,1747.68,1.01401,1.42419,0.5317,0.93299,0.9283,0.82231,0.89547,0.62204,0.899,0.79504,0.86586,0.51612,1.04589,1.4975,0.54811,0.95142,0.0005546,0.0005546,0.0005546
75,1771.12,1.012,1.41499,0.52577,0.93272,0.93153,0.81859,0.89374,0.61845,0.91034,0.79627,0.86732,0.52506,1.067,1.5242,0.56189,0.96393,0.0005348,0.0005348,0.0005348
76,1794.92,1.02873,1.42232,0.53089,0.9387,0.93084,0.82424,0.8954,0.62397,0.90844,0.79592,0.86776,0.52137,1.04983,1.4943,0.54546,0.96021,0.000515,0.000515,0.000515
77,1822.43,1.01148,1.39673,0.52477,0.93624,0.93026,0.8214,0.89198,0.61309,0.89928,0.78958,0.85938,0.50869,1.08982,1.50247,0.54539,0.96973,0.0004952,0.0004952,0.0004952
78,1845.81,0.99373,1.40436,0.52429,0.93657,0.93257,0.81992,0.89579,0.62947,0.90242,0.78976,0.86212,0.51807,1.03012,1.48784,0.54453,0.95481,0.0004754,0.0004754,0.0004754
79,1869.67,0.98507,1.38614,0.50369,0.92709,0.92333,0.81351,0.89245,0.62069,0.89921,0.79046,0.86611,0.52009,1.06602,1.50799,0.54663,0.96172,0.0004556,0.0004556,0.0004556
80,1893.53,1.01449,1.43178,0.52769,0.93477,0.93506,0.80876,0.89503,0.62272,0.90738,0.78077,0.86002,0.5204,1.06274,1.47753,0.54201,0.96018,0.0004358,0.0004358,0.0004358
81,1917.28,0.99909,1.40123,0.51567,0.93171,0.9282,0.82336,0.89663,0.61871,0.90936,0.79838,0.87221,0.52429,1.07729,1.5289,0.53859,0.96499,0.000416,0.000416,0.000416
